id_temps,id_journal,id_pays,nb_auteurs,quartile,nb_citations,nb_publications
2,1,10,6,Q1,83,1
9,1,18,1,Q3,13,1
9,1,13,1,Q1,79,1
9,1,1,1,Q3,41,1
2,1,10,3,Q3,99,1
2,1,18,3,Q2,53,1
2,1,11,4,Q2,42,1
0,1,4,5,Q2,20,1
2,1,19,2,Q2,98,1
3,1,7,1,Q2,54,1
9,1,5,1,Q2,43,1
7,1,1,6,Q3,36,1
2,1,17,2,Q1,18,1
3,1,16,6,Q3,7,1
9,1,1,1,Q4,64,1
9,1,15,1,Q3,97,1
6,1,18,4,Q1,36,1
7,1,7,4,Q4,17,1
6,1,18,4,Q4,4,1
9,1,0,1,Q2,47,1
0,1,5,1,Q3,76,1
2,1,11,6,Q4,21,1
2,1,13,4,Q1,76,1
9,1,0,4,Q3,61,1
2,1,2,3,Q1,87,1
8,1,0,5,Q2,55,1
2,1,2,6,Q2,56,1
10,1,0,4,Q1,44,1
8,1,2,1,Q1,91,1
2,1,15,4,Q3,79,1
7,1,1,1,Q1,82,1
10,1,6,4,Q1,50,1
2,1,0,5,Q2,7,1
10,1,19,4,Q1,16,1
7,1,18,3,Q2,3,1
2,1,8,3,Q4,98,1
2,1,9,6,Q3,19,1
7,1,17,4,Q2,99,1
7,1,13,7,Q1,12,1
9,1,11,3,Q4,15,1
7,1,15,9,Q2,31,1
9,1,14,4,Q3,37,1
6,1,8,5,Q2,76,1
6,1,6,7,Q4,73,1
9,1,12,5,Q3,83,1
10,1,2,4,Q2,16,1
9,1,1,1,Q3,11,1
8,1,10,4,Q3,94,1
0,1,14,4,Q1,53,1
2,1,4,4,Q4,60,1
9,1,17,5,Q1,46,1
7,1,15,6,Q3,0,1
6,1,12,3,Q2,12,1
7,1,17,3,Q3,8,1
9,1,12,2,Q4,97,1
8,1,6,7,Q3,13,1
10,1,19,3,Q1,99,1
9,1,4,4,Q2,63,1
8,1,5,7,Q1,15,1
9,1,11,1,Q4,37,1
10,1,7,8,Q1,64,1
3,1,19,1,Q2,93,1
6,1,9,6,Q3,69,1
2,1,2,4,Q3,15,1
2,1,13,6,Q4,81,1
6,1,16,8,Q2,59,1
6,1,1,2,Q3,88,1
10,1,2,4,Q3,71,1
8,1,0,5,Q3,2,1
